Y;24360;0
Y;24840;26031
Y;25200;26031
Y;25740;52062
Y;25260;0
Y;25740;26031
Y;26100;26031
Y;26640;52062
Y;26160;0
Y;26640;26031
Y;27000;26031
Y;27540;52062
Y;27060;0
Y;27540;26031
Y;27900;26031
Y;28440;52062
Y;27960;0
Y;28440;26031
Y;28800;26031
Y;29340;52062
Y;28860;0
Y;29340;26031
Y;29700;26031
Y;30240;52062
Y;29760;0
Y;30240;26031
Y;30600;26031
Y;31140;52062
Y;30660;0
Y;31140;26031
Y;31500;26031
Y;32040;52062
Y;31560;0
Y;32040;26031
Y;32400;26031
Y;32940;52062
Y;32460;0
Y;32940;26031
Y;33300;26031
Y;33840;52062
Y;33360;0
Y;33840;26031
Y;34200;26031
Y;34740;52062
Y;34260;0
Y;34740;26031
Y;35100;26031
Y;35640;52062
Y;35160;0
Y;35640;26031
Y;36000;26031
Y;36540;52062
Y;36060;0
Y;36540;26031
Y;36900;26031
Y;37440;52062
Y;36960;0
Y;37440;26031
Y;37800;26031
Y;38340;52062
Y;37860;0
Y;38340;26031
Y;38700;26031
Y;39240;52062
Y;38760;0
Y;39240;26031
Y;39600;26031
Y;40140;52062
Y;39660;0
Y;40140;26031
Y;40500;26031
Y;41040;52062
Y;40560;0
Y;41040;26031
Y;41400;26031
Y;41940;52062
Y;41460;0
Y;41940;26031
Y;42300;26031
Y;42840;52062
Y;42360;0
Y;42840;26031
Y;43200;26031
Y;43740;52062
Y;43260;0
Y;43740;26031
Y;44100;26031
Y;44640;52062
Y;44160;0
Y;44640;26031
Y;45000;26031
Y;45540;52062
Y;45060;0
Y;45540;26031
Y;45900;26031
Y;46440;52062
Y;45960;0
Y;46440;26031
Y;46800;26031
Y;47340;52062
Y;46860;0
Y;47340;26031
Y;47700;26031
Y;48240;52062
Y;47760;0
Y;48240;26031
Y;48600;26031
Y;49140;52062
Y;48660;0
Y;49140;26031
Y;49500;26031
Y;50040;52062
Y;49560;0
Y;50040;26031
Y;50400;26031
Y;50940;52062
Y;50460;0
Y;50940;26031
Y;51300;26031
Y;51840;52062
Y;51360;0
Y;51840;26031
Y;52200;26031
Y;52740;52062
Y;52260;0
Y;52740;26031
Y;53100;26031
Y;53640;52062
Y;53160;0
Y;53640;26031
Y;54000;26031
Y;54540;52062
Y;54060;0
Y;54540;26031
Y;54900;26031
Y;55440;52062
Y;54960;0
Y;55440;26031
Y;55800;26031
Y;56340;52062
Y;55860;0
Y;56340;26031
Y;56700;26031
Y;57240;52062
Y;56760;0
Y;57240;26031
Y;57600;26031
Y;58140;52062
Y;57660;0
Y;58140;26031
Y;58500;26031
Y;59040;52062
Y;58560;0
Y;59040;26031
Y;59400;26031
Y;59940;52062
Y;59460;0
Y;59940;26031
Y;60300;26031
Y;60840;52062
Y;60360;0
Y;60840;26031
Y;61200;26031
Y;61740;52062
Y;61260;0
Y;61740;26031
Y;62100;26031
Y;62640;52062
Y;62160;0
Y;62640;26031
Y;63000;26031
Y;63540;52062
Y;63060;0
Y;63540;26031
Y;63900;26031
Y;64440;52062
Y;63960;0
Y;64440;26031
Y;64800;26031
Y;65340;52062
Y;64860;0
Y;65340;26031
Y;65700;26031
Y;66240;52062
Y;65760;0
Y;66240;26031
Y;66600;26031
Y;67140;52062
Y;66660;0
Y;67140;26031
Y;67500;26031
