Yellow Line,FFF9E300,3 , 10 , 14 , 14 , 13 , 12 , 12 , 12 , 12 , 14 , 14 , 14 , 14 , 14 , 12 , 12 , 12 , 12 , 4 , 25 , 35 , 18 , 10 , 26 , 24 , 5 , 21 , 37 , 38 , 123 , 45 , 30 , 42 , 26 , 11 , 12 , 18 , 34
Purple Line,FF522398,6 , 11 , 14 , 13 , 13 , 13 , 13 , 13 , 13 , 14 , 15 , 16 , 15 , 14 , 13 , 12 , 12 , 12 , 11 , 15 , 55 , 80 , 52 , 69 , 32 , 29 , 32 , 25 , 41 , 51 , 84 , 92 , 53 , 84 , 32 , 10 , 9 , 64
Purple Line,FF522398,6 , 13 , 14 , 13 , 14 , 13 , 14 , 13 , 13 , 14 , 15 , 16 , 15 , 15 , 13 , 12 , 12 , 12 , 11 , 25 , 83 , 107 , 87 , 115 , 46 , 25 , 49 , 41 , 57 , 65 , 88 , 85 , 74 , 143 , 43 , 13 , 13 , 102
Purple Line,FF522398,7 , 13 , 14 , 13 , 14 , 12 , 14 , 13 , 13 , 14 , 15 , 15 , 15 , 15 , 13 , 12 , 12 , 12 , 10 , 24 , 87 , 124 , 94 , 130 , 31 , 19 , 27 , 23 , 56 , 54 , 92 , 88 , 77 , 143 , 42 , 12 , 13 , 106
Blue Line,FF00A1DE,7 , 16 , 22 , 26 , 23 , 21 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 14 , 100 , 110 , 63 , 60 , 78 , 63 , 54 , 84 , 75 , 117 , 115 , 91 , 93 , 98 , 150 , 167 , 93 , 133 , 84
Blue Line,FF00A1DE,8 , 16 , 22 , 27 , 23 , 21 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 14 , 108 , 117 , 65 , 61 , 77 , 66 , 52 , 86 , 73 , 124 , 122 , 95 , 100 , 105 , 161 , 183 , 102 , 140 , 91
Blue Line,FF00A1DE,9 , 17 , 24 , 27 , 22 , 21 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 21 , 18 , 17 , 16 , 15 , 13 , 123 , 124 , 67 , 60 , 70 , 67 , 48 , 83 , 63 , 130 , 131 , 99 , 116 , 116 , 171 , 169 , 84 , 167 , 90
Blue Line,FF00A1DE,12 , 17 , 25 , 26 , 22 , 20 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 13 , 94 , 111 , 61 , 69 , 66 , 55 , 45 , 73 , 52 , 131 , 143 , 102 , 121 , 105 , 124 , 118 , 42 , 188 , 102
Blue Line,FF00A1DE,14 , 18 , 27 , 25 , 21 , 20 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 13 , 28 , 77 , 50 , 84 , 75 , 41 , 16 , 64 , 32 , 76 , 124 , 82 , 97 , 44 , 44 , 48 , 27 , 180 , 50
Blue Line,FF00A1DE,9 , 16 , 19 , 22 , 22 , 20 , 20 , 20 , 20 , 20 , 22 , 24 , 27 , 23 , 20 , 17 , 16 , 15 , 14 , 50 , 125 , 80 , 72 , 84 , 74 , 70 , 90 , 89 , 64 , 54 , 59 , 53 , 61 , 53 , 88 , 72 , 102 , 103
Blue Line,FF00A1DE,10 , 16 , 19 , 22 , 22 , 20 , 20 , 20 , 20 , 20 , 22 , 24 , 27 , 22 , 19 , 17 , 16 , 15 , 13 , 44 , 134 , 75 , 74 , 90 , 68 , 73 , 92 , 83 , 64 , 48 , 58 , 51 , 60 , 53 , 94 , 63 , 94 , 86
Blue Line,FF00A1DE,14 , 17 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 22 , 26 , 26 , 22 , 18 , 17 , 16 , 15 , 13 , 30 , 103 , 64 , 78 , 109 , 60 , 116 , 106 , 98 , 41 , 31 , 48 , 53 , 73 , 54 , 81 , 34 , 92 , 50
Blue Line,FF00A1DE,12 , 17 , 20 , 22 , 21 , 20 , 20 , 20 , 20 , 20 , 22 , 25 , 27 , 22 , 19 , 17 , 16 , 15 , 13 , 39 , 140 , 76 , 72 , 94 , 75 , 81 , 90 , 84 , 70 , 42 , 52 , 49 , 59 , 52 , 92 , 47 , 110 , 75
Blue Line,FF00A1DE,9 , 16 , 24 , 27 , 22 , 21 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 13 , 120 , 123 , 66 , 60 , 70 , 67 , 51 , 82 , 66 , 128 , 129 , 98 , 113 , 117 , 171 , 174 , 90 , 164 , 93
Blue Line,FF00A1DE,10 , 16 , 19 , 22 , 22 , 20 , 20 , 20 , 20 , 20 , 22 , 24 , 27 , 23 , 19 , 17 , 16 , 15 , 13 , 47 , 133 , 76 , 74 , 89 , 71 , 72 , 92 , 85 , 64 , 50 , 57 , 50 , 61 , 53 , 93 , 66 , 93 , 88
Brown Line,FF62361B,6 , 12 , 18 , 23 , 20 , 18 , 17 , 17 , 18 , 19 , 20 , 21 , 23 , 21 , 18 , 17 , 17 , 16 , 15 , 163 , 76 , 80 , 64 , 56 , 85 , 83 , 55 , 85 , 85 , 43 , 71 , 60 , 63 , 66 , 45 , 54 , 59 , 55
Brown Line,FF62361B,6 , 12 , 18 , 23 , 20 , 18 , 17 , 17 , 18 , 19 , 20 , 21 , 23 , 21 , 18 , 17 , 17 , 16 , 15 , 170 , 79 , 82 , 64 , 56 , 87 , 81 , 56 , 86 , 85 , 43 , 72 , 61 , 64 , 68 , 45 , 56 , 60 , 56
Brown Line,FF62361B,7 , 12 , 19 , 24 , 20 , 18 , 17 , 17 , 18 , 20 , 20 , 21 , 24 , 21 , 18 , 17 , 17 , 16 , 15 , 188 , 88 , 83 , 64 , 51 , 96 , 68 , 63 , 82 , 78 , 46 , 64 , 59 , 64 , 66 , 48 , 60 , 49 , 54
Brown Line,FF62361B,8 , 13 , 20 , 24 , 19 , 18 , 17 , 17 , 18 , 20 , 20 , 21 , 24 , 20 , 17 , 17 , 17 , 16 , 15 , 206 , 91 , 78 , 67 , 49 , 89 , 56 , 65 , 74 , 71 , 39 , 65 , 57 , 65 , 65 , 49 , 56 , 46 , 47
Brown Line,FF62361B,11 , 14 , 22 , 24 , 19 , 17 , 17 , 17 , 19 , 20 , 20 , 22 , 24 , 19 , 17 , 17 , 17 , 16 , 15 , 141 , 119 , 85 , 63 , 49 , 103 , 62 , 74 , 78 , 30 , 15 , 56 , 59 , 47 , 63 , 54 , 45 , 38 , 42
Brown Line,FF62361B,12 , 16 , 23 , 23 , 19 , 17 , 17 , 17 , 19 , 20 , 20 , 22 , 23 , 19 , 17 , 17 , 17 , 16 , 15 , 200 , 177 , 73 , 59 , 48 , 134 , 74 , 71 , 81 , 18 , 9 , 63 , 60 , 50 , 89 , 75 , 59 , 35 , 47
Brown Line,FF62361B,7 , 14 , 19 , 22 , 21 , 18 , 17 , 17 , 18 , 19 , 20 , 21 , 23 , 22 , 18 , 17 , 17 , 16 , 15 , 142 , 103 , 74 , 61 , 62 , 88 , 99 , 51 , 86 , 62 , 22 , 77 , 62 , 54 , 76 , 52 , 46 , 68 , 53
Brown Line,FF62361B,12 , 16 , 23 , 23 , 19 , 17 , 17 , 17 , 19 , 20 , 20 , 22 , 24 , 19 , 17 , 17 , 17 , 16 , 15 , 192 , 164 , 74 , 60 , 53 , 124 , 72 , 72 , 80 , 18 , 8 , 61 , 60 , 47 , 84 , 69 , 55 , 45 , 47
Orange Line,FFF9461C,7 , 14 , 16 , 17 , 17 , 17 , 17 , 17 , 17 , 17 , 18 , 19 , 19 , 18 , 17 , 16 , 13 , 12 , 11 , 104 , 66 , 61 , 50 , 54 , 24 , 52 , 153 , 54 , 55 , 30 , 57 , 80 , 26 , 35 , 37 , 32 , 71 , 47
Orange Line,FFF9461C,9 , 14 , 16 , 17 , 17 , 17 , 17 , 17 , 17 , 17 , 18 , 20 , 19 , 18 , 17 , 15 , 13 , 12 , 11 , 126 , 78 , 65 , 43 , 43 , 18 , 18 , 146 , 44 , 47 , 28 , 62 , 83 , 15 , 31 , 37 , 36 , 75 , 49
Orange Line,FFF9461C,11 , 15 , 17 , 17 , 17 , 17 , 17 , 17 , 17 , 17 , 19 , 20 , 19 , 18 , 17 , 15 , 13 , 12 , 10 , 16 , 42 , 27 , 37 , 26 , 13 , 15 , 62 , 39 , 13 , 38 , 57 , 63 , 18 , 33 , 14 , 36 , 43 , 33
Purple Line,FF522398,6 , 11 , 14 , 13 , 13 , 13 , 13 , 13 , 13 , 14 , 15 , 16 , 15 , 14 , 13 , 12 , 12 , 12 , 10 , 12 , 49 , 78 , 45 , 61 , 23 , 28 , 20 , 15 , 37 , 43 , 84 , 95 , 48 , 66 , 28 , 8 , 8 , 55
Purple Line,FF522398,6 , 12 , 16 , 18 , 17 , 16 , 15 , 15 , 16 , 16 , 17 , 18 , 19 , 18 , 16 , 14 , 14 , 13 , 12 , 78 , 64 , 91 , 54 , 61 , 50 , 43 , 80 , 55 , 62 , 47 , 71 , 81 , 43 , 59 , 35 , 32 , 43 , 63
Blue Line,FF00A1DE,9 , 16 , 24 , 27 , 23 , 21 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 21 , 19 , 17 , 16 , 15 , 13 , 116 , 121 , 67 , 60 , 71 , 66 , 54 , 83 , 66 , 133 , 128 , 100 , 112 , 115 , 171 , 181 , 93 , 163 , 90
Blue Line,FF00A1DE,11 , 17 , 25 , 27 , 22 , 20 , 20 , 20 , 20 , 21 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 13 , 101 , 115 , 63 , 64 , 67 , 55 , 49 , 80 , 53 , 127 , 144 , 106 , 128 , 112 , 147 , 133 , 60 , 182 , 95
Blue Line,FF00A1DE,12 , 18 , 26 , 26 , 22 , 20 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 13 , 52 , 93 , 57 , 73 , 65 , 53 , 20 , 67 , 53 , 128 , 142 , 91 , 114 , 78 , 78 , 95 , 27 , 206 , 95
Blue Line,FF00A1DE,14 , 19 , 27 , 24 , 21 , 20 , 20 , 20 , 20 , 22 , 22 , 22 , 22 , 20 , 18 , 17 , 16 , 15 , 13 , 6 , 70 , 49 , 86 , 77 , 23 , 16 , 63 , 17 , 62 , 126 , 85 , 78 , 33 , 8 , 40 , 28 , 153 , 25
